opportunity_id,title,organization,category,domain,description,min_cgpa,max_cgpa,eligible_years,eligible_branches,eligible_degrees,age_min,age_max,nationality,gender_requirement,required_skills,preferred_skills,technical_skills,soft_skills,required_experience,certifications_required,projects_required,location,city,work_mode,start_date,end_date,deadline,duration,stipend,funding_amount,benefits,certificate,mentorship,placement_opportunity,career_impact,application_url,contact_email,last_verified,status
13,Computer Vision Opportunity 13,GovSampleOrg13,Scholarship,Computer Vision,Scholarship in Computer Vision for student development,7.5,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,International,Any,Deep Learning|Statistics,TensorFlow|Computer Vision,Deep Learning|Statistics,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Mumbai,On-site,2026-09-23,2026-11-05,2026-09-16,2 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/13,contact13@sampleorg.example,2026-09-04,Upcoming
14,Natural Language Processing Opportunity 14,GovSampleOrg14,Fellowship,Natural Language Processing,Fellowship in Natural Language Processing for student development,8.0,NA,3|4,All Engineering,BTech|BE,18,NA,Any,Any,Artificial Intelligence|Pandas,PyTorch|Cybersecurity,Artificial Intelligence|Pandas,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Hyderabad,Hybrid,2026-09-24,2026-11-07,2026-09-17,3 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/14,contact14@sampleorg.example,2026-09-04,Closed
15,FinTech Opportunity 15,GovSampleOrg15,Hackathon,FinTech,Hackathon in FinTech for student development,NA,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,India,Any,Data Science|NumPy,NLP|Linux,Data Science|NumPy,Communication|Teamwork|Problem Solving,None,NA,Yes,India,NA,Online,2026-09-25,2026-11-09,2026-09-17,4 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,High,https://sample-opportunities.example/opportunity/15,contact15@sampleorg.example,2026-09-04,Open
16,Healthcare Technology Opportunity 16,GovSampleOrg16,Competition,Healthcare Technology,Competition in Healthcare Technology for student development,6.0,NA,1,All,UG,18,NA,International,Any,Statistics|TensorFlow,Computer Vision|Networking,Statistics|TensorFlow,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Bengaluru,Remote,2026-09-26,2026-11-11,2026-09-18,5 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/16,contact16@sampleorg.example,2026-09-04,Upcoming
17,EdTech Opportunity 17,GovSampleOrg17,Grant,EdTech,Grant in EdTech for student development,7.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,Any,Any,Pandas|PyTorch,Cybersecurity|AWS,Pandas|PyTorch,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Delhi,On-site,2026-09-27,2026-11-13,2026-09-18,6 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Low,https://sample-opportunities.example/opportunity/17,contact17@sampleorg.example,2026-09-04,Closed
18,UI/UX Opportunity 18,GovSampleOrg18,Exchange Program,UI/UX,Exchange Program in UI/UX for student development,7.5,NA,3|4,All Engineering,BTech|BE,18,NA,India,Any,NumPy|NLP,Linux|Azure,NumPy|NLP,Communication|Teamwork|Problem Solving,None,NA,No,India,Mumbai,Hybrid,2026-09-28,2026-11-15,2026-09-19,7 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/18,contact18@sampleorg.example,2026-09-04,Open
19,Research Opportunity 19,GovSampleOrg19,Certification,Research,Certification in Research for student development,8.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,International,Any,TensorFlow|Computer Vision,Networking|Docker,TensorFlow|Computer Vision,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Hyderabad,Online,2026-09-29,2026-11-17,2026-09-19,8 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/19,contact19@sampleorg.example,2026-09-04,Upcoming
20,Entrepreneurship Opportunity 20,GovSampleOrg20,Apprenticeship,Entrepreneurship,Apprenticeship in Entrepreneurship for student development,NA,NA,1,All,UG,18,NA,Any,Any,PyTorch|Cybersecurity,AWS|Kubernetes,PyTorch|Cybersecurity,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,NA,Remote,2026-09-30,2026-11-19,2026-09-20,9 Months,NA,NA,Certificate|Mentorship,Yes,Yes,Yes,Low,https://sample-opportunities.example/opportunity/20,contact20@sampleorg.example,2026-09-04,Closed
21,Sustainability Opportunity 21,GovSampleOrg21,Training Program,Sustainability,Training Program in Sustainability for student development,6.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,India,Any,NLP|Linux,Azure|Flutter,NLP|Linux,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Bengaluru,On-site,2026-10-01,2026-11-21,2026-09-20,10 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,High,https://sample-opportunities.example/opportunity/21,contact21@sampleorg.example,2026-09-04,Open
22,Competitive Programming Opportunity 22,GovSampleOrg22,Entrepreneurship Program,Competitive Programming,Entrepreneurship Program in Competitive Programming for student development,7.0,NA,3|4,All Engineering,BTech|BE,18,NA,International,Any,Computer Vision|Networking,Docker|Kotlin,Computer Vision|Networking,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Delhi,Hybrid,2026-10-02,2026-11-23,2026-09-21,11 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/22,contact22@sampleorg.example,2026-09-04,Upcoming
23,Artificial Intelligence Opportunity 23,GovSampleOrg23,Workshop,Artificial Intelligence,Workshop in Artificial Intelligence for student development,7.5,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,Any,Any,Cybersecurity|AWS,Kubernetes|Android,Cybersecurity|AWS,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Mumbai,Online,2026-10-03,2026-11-25,2026-09-21,12 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Low,https://sample-opportunities.example/opportunity/23,contact23@sampleorg.example,2026-09-04,Closed
24,Machine Learning Opportunity 24,GovSampleOrg24,Open Source Program,Machine Learning,Open Source Program in Machine Learning for student development,8.0,NA,1,All,UG,18,NA,India,Any,Linux|Azure,Flutter|React,Linux|Azure,Communication|Teamwork|Problem Solving,None,NA,No,India,Hyderabad,Remote,2026-10-04,2026-11-27,2026-09-22,1 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/24,contact24@sampleorg.example,2026-09-04,Open
25,Data Science Opportunity 25,GovSampleOrg25,Government Internship,Data Science,Government Internship in Data Science for student development,NA,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,International,Any,Networking|Docker,Kotlin|Node.js,Networking|Docker,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,NA,On-site,2026-10-05,2026-11-29,2026-09-22,2 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,Yes,Medium,https://sample-opportunities.example/opportunity/25,contact25@sampleorg.example,2026-09-04,Upcoming
26,Web Development Opportunity 26,GovSampleOrg26,Government Scholarship,Web Development,Government Scholarship in Web Development for student development,6.0,NA,3|4,All Engineering,BTech|BE,18,NA,Any,Any,AWS|Kubernetes,Android|MongoDB,AWS|Kubernetes,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Bengaluru,Hybrid,2026-10-06,2026-12-01,2026-09-23,3 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/26,contact26@sampleorg.example,2026-09-04,Closed
27,Mobile Development Opportunity 27,GovSampleOrg27,Government Fellowship,Mobile Development,Government Fellowship in Mobile Development for student development,7.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,India,Any,Azure|Flutter,React|Figma,Azure|Flutter,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Delhi,Online,2026-10-07,2026-12-03,2026-09-23,4 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,High,https://sample-opportunities.example/opportunity/27,contact27@sampleorg.example,2026-09-04,Open
28,Software Engineering Opportunity 28,GovSampleOrg28,Government Program,Software Engineering,Government Program in Software Engineering for student development,7.5,NA,1,All,UG,18,NA,International,Any,Docker|Kotlin,Node.js|IoT,Docker|Kotlin,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Mumbai,Remote,2026-10-08,2026-12-05,2026-09-24,5 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/28,contact28@sampleorg.example,2026-09-04,Upcoming
29,Cybersecurity Opportunity 29,GovSampleOrg29,Government Research Program,Cybersecurity,Government Research Program in Cybersecurity for student development,8.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,Any,Any,Kubernetes|Android,MongoDB|Arduino,Kubernetes|Android,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Hyderabad,On-site,2026-10-09,2026-12-07,2026-09-24,6 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Low,https://sample-opportunities.example/opportunity/29,contact29@sampleorg.example,2026-09-04,Closed
30,Cloud Computing Opportunity 30,GovSampleOrg30,Government Skill Development Program,Cloud Computing,Government Skill Development Program in Cloud Computing for student development,NA,NA,3|4,All Engineering,BTech|BE,18,NA,India,Any,Flutter|React,Figma|Blockchain,Flutter|React,Communication|Teamwork|Problem Solving,None,NA,No,India,NA,Hybrid,2026-10-10,2026-12-09,2026-09-25,7 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/30,contact30@sampleorg.example,2026-09-04,Open
31,DevOps Opportunity 31,GovSampleOrg31,Government Innovation Program,DevOps,Government Innovation Program in DevOps for student development,6.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,International,Any,Kotlin|Node.js,IoT|Solidity,Kotlin|Node.js,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Bengaluru,Online,2026-10-11,2026-12-11,2026-09-25,8 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/31,contact31@sampleorg.example,2026-09-04,Upcoming
32,Blockchain Opportunity 32,GovSampleOrg32,Government Grant,Blockchain,Government Grant in Blockchain for student development,7.0,NA,1,All,UG,18,NA,Any,Any,Android|MongoDB,Arduino|Research,Android|MongoDB,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Delhi,Remote,2026-10-12,2026-12-13,2026-09-26,9 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/32,contact32@sampleorg.example,2026-09-04,Closed
33,Robotics Opportunity 33,GovSampleOrg33,Public Sector Internship,Robotics,Public Sector Internship in Robotics for student development,7.5,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,India,Any,React|Figma,Blockchain|Data Analysis,React|Figma,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Mumbai,On-site,2026-10-13,2026-12-15,2026-09-26,10 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,Yes,High,https://sample-opportunities.example/opportunity/33,contact33@sampleorg.example,2026-09-04,Open
34,Internet of Things Opportunity 34,GovSampleOrg34,Private Internship,Internet of Things,Private Internship in Internet of Things for student development,8.0,NA,3|4,All Engineering,BTech|BE,18,NA,International,Any,Node.js|IoT,Solidity|Python,Node.js|IoT,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Hyderabad,Hybrid,2026-10-14,2026-12-17,2026-09-27,11 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,Yes,Medium,https://sample-opportunities.example/opportunity/34,contact34@sampleorg.example,2026-09-04,Upcoming
35,Computer Vision Opportunity 35,GovSampleOrg35,Technology Internship,Computer Vision,Technology Internship in Computer Vision for student development,NA,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,Any,Any,MongoDB|Arduino,Research|C,MongoDB|Arduino,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,NA,Online,2026-10-15,2026-12-19,2026-09-27,12 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,Yes,Low,https://sample-opportunities.example/opportunity/35,contact35@sampleorg.example,2026-09-04,Closed
36,Natural Language Processing Opportunity 36,GovSampleOrg36,Research Internship,Natural Language Processing,Research Internship in Natural Language Processing for student development,6.0,NA,1,All,UG,18,NA,India,Any,Figma|Blockchain,Data Analysis|C++,Figma|Blockchain,Communication|Teamwork|Problem Solving,None,NA,No,India,Bengaluru,Remote,2026-10-16,2026-12-21,2026-09-28,1 Months,NA,NA,Certificate|Mentorship,Yes,Yes,Yes,High,https://sample-opportunities.example/opportunity/36,contact36@sampleorg.example,2026-09-04,Open
37,FinTech Opportunity 37,GovSampleOrg37,Scholarship,FinTech,Scholarship in FinTech for student development,7.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,International,Any,IoT|Solidity,Python|Java,IoT|Solidity,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Delhi,On-site,2026-10-17,2026-12-23,2026-09-28,2 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/37,contact37@sampleorg.example,2026-09-04,Upcoming
38,Healthcare Technology Opportunity 38,GovSampleOrg38,Fellowship,Healthcare Technology,Fellowship in Healthcare Technology for student development,7.5,NA,3|4,All Engineering,BTech|BE,18,NA,Any,Any,Arduino|Research,C|JavaScript,Arduino|Research,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Mumbai,Hybrid,2026-10-18,2026-12-25,2026-09-29,3 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/38,contact38@sampleorg.example,2026-09-04,Closed
39,EdTech Opportunity 39,GovSampleOrg39,Hackathon,EdTech,Hackathon in EdTech for student development,8.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,India,Any,Blockchain|Data Analysis,C++|HTML,Blockchain|Data Analysis,Communication|Teamwork|Problem Solving,None,NA,Yes,India,Hyderabad,Online,2026-10-19,2026-12-27,2026-09-29,4 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,High,https://sample-opportunities.example/opportunity/39,contact39@sampleorg.example,2026-09-04,Open
40,UI/UX Opportunity 40,GovSampleOrg40,Competition,UI/UX,Competition in UI/UX for student development,NA,NA,1,All,UG,18,NA,International,Any,Solidity|Python,Java|CSS,Solidity|Python,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,NA,Remote,2026-10-20,2026-12-29,2026-09-30,5 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/40,contact40@sampleorg.example,2026-09-04,Upcoming
41,Research Opportunity 41,GovSampleOrg41,Grant,Research,Grant in Research for student development,6.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,Any,Any,Research|C,JavaScript|SQL,Research|C,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Bengaluru,On-site,2026-10-21,2026-12-31,2026-09-30,6 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,Low,https://sample-opportunities.example/opportunity/41,contact41@sampleorg.example,2026-09-04,Closed
42,Entrepreneurship Opportunity 42,GovSampleOrg42,Exchange Program,Entrepreneurship,Exchange Program in Entrepreneurship for student development,7.0,NA,3|4,All Engineering,BTech|BE,18,NA,India,Any,Data Analysis|C++,HTML|Git,Data Analysis|C++,Communication|Teamwork|Problem Solving,None,NA,No,India,Delhi,Hybrid,2026-10-22,2027-01-02,2026-10-01,7 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/42,contact42@sampleorg.example,2026-09-04,Open
43,Sustainability Opportunity 43,GovSampleOrg43,Certification,Sustainability,Certification in Sustainability for student development,7.5,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,International,Any,Python|Java,CSS|GitHub,Python|Java,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Mumbai,Online,2026-10-23,2027-01-04,2026-10-01,8 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Medium,https://sample-opportunities.example/opportunity/43,contact43@sampleorg.example,2026-09-04,Upcoming
44,Competitive Programming Opportunity 44,GovSampleOrg44,Apprenticeship,Competitive Programming,Apprenticeship in Competitive Programming for student development,8.0,NA,1,All,UG,18,NA,Any,Any,C|JavaScript,SQL|DSA,C|JavaScript,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,Hyderabad,Remote,2026-10-24,2027-01-06,2026-10-02,9 Months,NA,NA,Certificate|Mentorship,Yes,Yes,Yes,Low,https://sample-opportunities.example/opportunity/44,contact44@sampleorg.example,2026-09-04,Closed
45,Artificial Intelligence Opportunity 45,GovSampleOrg45,Training Program,Artificial Intelligence,Training Program in Artificial Intelligence for student development,NA,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,India,Any,C++|HTML,Git|Algorithms,C++|HTML,Communication|Teamwork|Problem Solving,None,NA,Yes,India,NA,On-site,2026-10-25,2027-01-08,2026-10-02,10 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,No,High,https://sample-opportunities.example/opportunity/45,contact45@sampleorg.example,2026-09-04,Open
46,Machine Learning Opportunity 46,GovSampleOrg46,Entrepreneurship Program,Machine Learning,Entrepreneurship Program in Machine Learning for student development,6.0,NA,3|4,All Engineering,BTech|BE,18,NA,International,Any,Java|CSS,GitHub|Machine Learning,Java|CSS,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,No,Online,Bengaluru,Hybrid,2026-10-26,2027-01-10,2026-10-03,11 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Medium,https://sample-opportunities.example/opportunity/46,contact46@sampleorg.example,2026-09-04,Upcoming
47,Data Science Opportunity 47,GovSampleOrg47,Workshop,Data Science,Workshop in Data Science for student development,7.0,NA,1|2|3|4,ECE|EEE|CSE,Any Degree,18,NA,Any,Any,JavaScript|SQL,DSA|Deep Learning,JavaScript|SQL,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,Yes,International,Delhi,Online,2026-10-27,2027-01-12,2026-10-03,12 Months,30000 INR/month,250000 INR,Prize|Certificate,Yes,No,No,Low,https://sample-opportunities.example/opportunity/47,contact47@sampleorg.example,2026-09-04,Closed
48,Web Development Opportunity 48,GovSampleOrg48,Open Source Program,Web Development,Open Source Program in Web Development for student development,7.5,NA,1,All,UG,18,NA,India,Any,HTML|Git,Algorithms|Artificial Intelligence,HTML|Git,Communication|Teamwork|Problem Solving,None,NA,No,India,Mumbai,Remote,2026-10-28,2027-01-14,2026-10-04,1 Months,NA,NA,Certificate|Mentorship,Yes,Yes,No,High,https://sample-opportunities.example/opportunity/48,contact48@sampleorg.example,2026-09-04,Open
49,Mobile Development Opportunity 49,GovSampleOrg49,Government Internship,Mobile Development,Government Internship in Mobile Development for student development,8.0,NA,2|3,CSE|IT|AIML,UG|PG,18,NA,International,Any,CSS|GitHub,Machine Learning|Data Science,CSS|GitHub,Communication|Teamwork|Problem Solving,Basic Experience,NPTEL Preferred,Yes,Online,Hyderabad,On-site,2026-10-29,2027-01-16,2026-10-04,2 Months,10000 INR/month,50000 INR,Stipend|Certificate|Mentorship,Yes,No,Yes,Medium,https://sample-opportunities.example/opportunity/49,contact49@sampleorg.example,2026-09-04,Upcoming
50,Software Engineering Opportunity 50,GovSampleOrg50,Government Scholarship,Software Engineering,Government Scholarship in Software Engineering for student development,NA,NA,3|4,All Engineering,BTech|BE,18,NA,Any,Any,SQL|DSA,Deep Learning|Statistics,SQL|DSA,Communication|Teamwork|Problem Solving,Research Experience,Cloud Certification Preferred,No,International,NA,Hybrid,2026-10-30,2027-01-18,2026-10-05,3 Months,20000 INR/month,100000 INR,Funding|Networking,Yes,Yes,No,Low,https://sample-opportunities.example/opportunity/50,contact50@sampleorg.example,2026-09-04,Closed
